TRAIN01,TRAIN02,TRAIN03,TRAIN04,TRAIN07,AGG09,AGG10,AGG14,AGG15,AGG16,AGG18,AGG19,AGG20,FEAR21,FEAR23,FEAR24,FEAR26,FEAR27,FEAR28,FEAR29,FEAR30,FEAR31,SEPR32,SEPR33,SEPR34,EXCITE35,EXCITE36,EXCITE37,EXCITE38,ATT39,ATT41,PLAY43,PLAY44,PLAY45,PLAY46,IMP47,IMP48,MISC52,MISC53,MISC54,MISC55,MISC56,MISC59,MISC60,MISC61,MISC62,MISC64,MISC65,MISC66,MISC67
0,0,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,3,3,0,3,3,4,4,1,1,0,0,0,0,0,1,2,3,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,2,2,2,0,2,4,2,3,4,4,3,2,0,1,1,0,0,0,2,3,3,1,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,2,3,4,4,4,4,2,1,1,2,0,1,1,1,3,4,1,1,0,0,0
1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,1,3,4,1,3,4,4,4,1,1,1,0,1,0,0,0,2,4,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,3,3,3,3,4,4,4,4,2,1,0,0,0,0,0,1,4,4,1,0,0,0,0
1,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,2,1,3,3,3,4,4,4,4,4,4,4,3,2,4,4,1,0,0,1,3,2,1,1,2,1,1
0,1,1,2,2,1,1,0,0,0,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,0,1,2,3,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,2,0,2,2,3,1,2,3,1,0,3,1,2,1,1,2,0,1,2,1,0,3,2,3,3,4,2,3,1,1,1,2,0,1,0,0,0,0,2,3,3,2,1,1,1,2
2,2,2,1,2,0,1,0,0,2,3,0,1,0,0,0,1,3,0,1,1,3,1,1,1,1,2,1,2,1,1,3,4,2,4,2,1,2,2,0,0,0,1,3,3,3,1,2,1,1
1,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,2,3,4,2,4,4,4,4,3,1,4,0,0,0,0,0,3,2,2,1,1,0,0
1,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,2,3,3,3,3,3,1,4,3,3,2,2,0,0,0,0,0,1,2,2,1,1,1,1,1
1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,3,3,2,3,4,3,2,1,1,1,1,1,2,2,0,0,0,0,3,3,1,2,2,1,1
1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,3,4,3,3,2,2,1,1,1,2,1,0,0,0,0,3,3,0,2,1,0,0
1,0,1,1,1,0,1,0,0,3,3,1,0,0,0,0,1,3,1,0,0,2,1,2,1,2,3,2,3,1,3,4,4,4,4,1,1,0,0,2,2,1,1,3,3,3,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,1,3,0,4,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,3,2,2,3,0,1,4,3,3,4,2,3,1,2,0,0,0,0,0,2,3,3,1,1,3,0,2
1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,2,3,4,1,4,2,2,1,1,1,4,3,0,0,0,0,1,4,1,1,0,0,0
2,1,1,2,2,0,0,0,0,2,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,3,2,2,2,2,4,1,3,4,3,2,3,4,3,0,0,0,3,2,3,3,2,2,1,0
1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,2,2,2,3,3,0,3,4,4,4,1,1,0,0,2,0,2,1,3,3,1,1,1,1,1
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,2,4,2,4,3,4,4,1,1,0,0,0,0,0,0,3,3,1,2,1,0,0
1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,3,3,3,1,4,3,1,1,2,2,2,0,2,1,3,3,1,1,2,1,2
2,2,3,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,3,2,0,4,4,4,4,2,1,0,0,0,0,0,2,4,4,0,2,2,0,2
1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,3,3,3,4,3,4,3,3,3,1,1,3,0,0,0,0,1,4,3,2,1,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,2,2,3,2,4,3,4,4,0,0,1,0,0,0,0,0,2,4,1,0,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,0,4,4,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
2,1,1,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,1,1,2,3,2,3,3,2,3,2,1,0,1,2,2,2,1,3,4,3,3,2,1,1
1,1,2,1,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,1,1,3,4,4,4,1,1,0,0,1,0,1,2,3,3,2,1,1,0,0
2,2,2,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,4,4,4,4,4,3,4,4,4,4,3,2,3,3,0,0,0,2,4,4,3,2,1,0,0
0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,3,3,3,3,4,3,4,4,4,4,3,2,2,0,0,0,0,1,2,4,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,4,1,3,3,2,4,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0
1,1,1,1,2,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,1,1,4,3,4,4,4,4,2,1,0,0,0,0,0,2,2,3,1,2,1,0,0
0,0,0,0,1,2,3,1,1,1,3,0,0,2,2,2,1,0,1,4,1,2,1,0,0,2,2,2,2,4,1,0,1,3,3,0,1,0,0,1,1,1,0,1,2,0,0,0,2,1
2,0,4,1,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,1,2,3,2,0,3,3,3,3,4,2,1,4,3,3,0,1,1,1,2,0,2,3,4,4,2,1,2,1,0
0,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,3,3,3,4,1,1,1,1,0,0,0,0,2,2,1,1,1,1,1
1,1,1,1,1,2,2,2,3,1,2,1,1,1,1,2,1,1,0,0,0,1,1,1,0,2,3,3,3,3,1,3,4,4,4,1,1,2,3,1,0,0,1,2,3,1,1,1,1,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,3,4,2,4,3,3,3,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0
3,1,2,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
1,2,3,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,3,3,3,3,3,3,3,1,1,3,2,1,1,1,0,2,2,3,1,1,1,0
4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,4,4,3,1,0,2,0,3,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0
0,0,0,0,0,1,2,1,0,2,4,2,2,1,1,2,3,1,1,2,2,2,3,1,0,3,3,4,4,4,3,4,4,4,1,2,2,1,3,0,0,0,2,2,3,1,0,1,1,0
2,2,2,2,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2,2,0,3,2,0,3,2,1,4,2,2,2,2,1,1,1,1,1,0,2,3,2,1,2,2,2,1
3,2,4,3,2,0,0,1,0,2,2,0,0,1,1,1,3,2,1,4,4,3,2,2,1,3,3,3,3,4,4,3,4,4,4,2,2,1,2,0,0,1,4,4,4,1,2,2,1,1
3,2,2,2,1,1,3,2,1,1,2,1,3,0,0,0,1,1,0,2,1,1,2,1,2,2,2,3,4,0,1,2,2,1,4,3,4,1,0,0,0,0,2,3,4,2,1,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,2,1,0,3,3,3,2,4,3,3,3,4,4,1,1,0,0,0,0,0,1,3,3,0,1,1,1,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,4,4,4,4,1,0,0,0,0,0,0,2,3,4,0,0,0,0,0
3,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,3,3,3,4,3,3,4,4,4,1,0,3,2,1,0,1,1,2,2,1,2,1,1,1
1,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,3,4,1,1,1,2,4,0,1,1,3,1,1,1,0,1,2,1,1,1,1,0
2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,3,4,4,4,4,2,1,2,1,1,1,0,0,3,2,1,1,1,1,0
1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,4,4,0,3,3,2,1,0,1,0,0,0,0,0,0,2,3,2,0,0,0,1
1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,4,2,4,4,4,4,0,0,3,0,0,0,0,0,3,4,3,0,1,0,0
1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,4,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2,3,3,2,0,1,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,4,3,3,4,4,0,4,4,4,4,4,2,1,0,0,0,0,2,4,4,0,0,1,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,2,2,2,3,3,3,3,3,3,2,1,1,0,0,0,2,1,3,3,1,1,1,0,0
1,1,2,1,1,0,0,2,1,0,1,0,0,1,2,3,1,0,0,1,0,1,3,2,2,2,2,2,3,2,0,3,4,4,4,1,1,2,0,0,0,0,0,2,2,1,1,1,0,0
0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0,0,1,0,4,3,4,3,4,0,3,2,3,3,1,2,2,0,0,2,0,0,4,4,3,1,1,1,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,1,3,0,1,3,2,3,3,4,3,3,1,4,3,0,0,0,1,3,2,3,2,2,0,1
1,1,1,1,2,0,0,2,0,3,3,1,1,0,0,0,0,0,1,1,1,3,0,0,0,3,3,3,3,3,2,4,2,3,3,1,1,2,2,2,1,1,0,2,1,2,1,1,1,1
0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,3,2,2,4,1,4,4,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0
2,1,1,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,4,2,4,4,2,1,1,2,2,3,1,2,1,1,2,1,1,2,2,3,1,2,2,1,2
2,2,2,1,2,0,0,1,0,2,2,0,1,1,0,1,2,3,2,1,0,3,1,1,0,3,2,3,2,3,2,3,1,1,1,1,1,4,2,2,0,0,2,1,3,3,2,2,2,1
1,1,3,0,2,0,0,0,0,1,2,1,1,0,0,1,0,0,1,1,1,0,4,4,0,4,4,4,2,4,4,3,4,4,4,1,1,3,0,4,0,0,1,4,4,1,0,0,2,0
2,1,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,3,3,2,3,4,1,3,2,3,4,2,1,3,1,1,0,1,1,2,3,1,1,1,1,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,2,4,3,3,4,2,4,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,1,3,2,4,4,2,4,4,4,4,1,2,4,0,4,2,0,1,2,3,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0,1,0,0,2,1,1,4,0,3,1,1,2,2,2,0,1,3,0,1,4,2,0,0,0,4,2,1,1,2,2,1,2,1,2,0,0,0,0,2,2
2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,0,4,2,4,3,3,4,0,1,0,0,0,0,0,1,1,2,1,2,2,1,1
1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,3,4,1,3,2,2,4,2,1,0,0,0,0,0,0,2,2,1,1,1,0,0
0,1,0,0,0,1,3,2,0,1,3,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,3,3,3,2,0,0,0,1,0,0,0,2,2,4,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
1,1,2,1,2,1,0,1,0,1,2,0,0,1,0,1,0,0,0,1,0,1,0,1,0,3,2,3,3,3,2,3,4,3,4,2,2,0,0,1,0,0,1,3,3,2,1,1,1,1
0,0,0,0,0,4,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0
1,1,1,1,2,0,0,1,0,1,2,0,1,0,0,0,1,1,1,1,0,2,0,0,0,2,2,2,2,3,3,2,0,1,3,2,1,3,2,1,0,0,1,2,2,1,1,1,0,0
2,2,1,2,1,0,0,1,1,0,1,0,0,1,0,2,4,1,1,3,2,2,0,1,0,3,2,3,3,3,2,0,1,2,0,2,1,3,2,2,0,0,0,2,1,2,1,1,1,1
2,1,2,1,1,2,2,3,2,1,2,0,0,1,1,2,3,1,1,0,0,1,1,1,2,2,2,1,2,3,2,3,4,4,4,1,2,2,1,1,1,1,1,3,3,3,1,1,2,1
0,2,2,1,2,1,1,1,0,1,0,0,0,1,0,1,1,1,2,1,1,1,0,1,0,2,2,2,2,2,1,0,0,0,0,1,1,1,1,2,1,2,0,1,1,3,2,1,1,1
1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,3,1,1,2,3,2,4,4,4,4,1,1,0,0,0,0,0,1,3,4,1,1,1,0,0
1,1,1,1,2,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,1,2,0,2,1,1
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,3,4,4,4,4,1,2,0,0,0,0,0,0,2,2,1,1,1,0,0
0,1,1,0,1,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,2,0,2,2,2,3,4,2,1,2,3,3,1,1,0,0,0,0,0,0,2,3,2,1,1,1,1
2,1,2,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,1,1,1,2,2,3,2,1,1,3,1,3,2,2,3,2,1,1,0,1,0,0,1,2,3,1,1,1,1,1
2,3,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,3,0,0,3,4,3,1,0,2,1,0,4,4,1,0,0,0,0,0,0,3,2,0,2
1,1,2,0,1,0,2,2,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,0,3,4,4,4,2,1,0,2,0,0,0,2,4,4,1,1,1,1,1
0,1,0,0,1,0,1,1,1,1,2,0,1,0,0,1,3,1,0,1,0,1,0,0,0,2,1,1,3,1,1,2,2,1,1,2,2,0,0,1,0,0,1,2,1,2,1,1,0,0
1,1,1,1,0,1,3,3,3,4,4,3,4,3,4,3,4,4,0,0,1,4,0,0,0,4,4,4,4,3,3,3,4,4,4,2,1,3,0,0,0,0,2,3,3,4,0,1,0,1
1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,3,3,1,3,2,2,2,4,2,2,2,3,2,2,2,3,3,4,1,2,2,2,3,2,2,2,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,3,2,4,4,4,4,1,1,2,1,0,0,0,2,3,3,2,0,1,0,1
1,1,2,1,2,0,0,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,2,2,3,4,1,1,1,3,4,4,4,4,4,1,2,1,2,0,0,0,1,2,2,3,1,1,0,0
1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,0,4,4,4,4,1,1,2,1,0,0,0,0,2,2,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4,4,2,4,2,2,4,4,4,4,4,2,1,3,0,0,0,2,3,4,0,0,0,0,0
2,1,2,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,3,2,1,3,1,1,4,3,2,4,1,1,0,0,2,0,0,1,3,3,1,2,2,2,1
3,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,2,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,3,3,3,4,1,4,4,4,4,1,0,1,0,0,0,0,0,2,4,1,1,1,0,0
0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,1,0,0,4,2,4,4,4,4,1,1,1,1,0,0,0,1,4,4,3,1,1,1,1
2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,3,1,1,2,0,2,4,1,1,1,0,2,1,0,0,0,0,2,1,2,1,1,0,0
0,1,1,1,2,0,1,1,0,1,3,0,1,0,0,0,1,2,1,0,0,2,3,4,0,4,3,3,3,4,3,3,3,3,4,4,3,1,1,1,1,2,2,4,3,4,4,4,3,1
0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,3,4,2,4,4,3,4,1,3,1,0,0,0,1,2,4,4,0,0,1,0,0
1,1,1,1,2,0,2,0,0,2,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2,0,1,0,2,1,2,2,2,2,1,2,1,0,1,0,0,0,2,2,2,2,2,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,3,3,2,3,4,4,4,2,0,0,0,0,0,0,2,2,2,0,1,0,0,0
1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,1,2,3,2,3,4,3,4,2,2,0,1,1,0,2,0,2,1,1,1,1,1,1
1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,4,4,4,4,2,1,0,1,1,0,1,1,0,1,0,0,0,1,1
1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,2,3,1,2,3,1,3,4,3,4,1,0,0,0,1,2,1,0,1,1,1,0,1,1,1
1,2,2,1,1,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,3,3,3,4,1,1,1,0,0,0,0,0,3,3,1,1,1,0,0
1,2,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,2,2,2,3,3,2,3,4,3,4,2,1,1,0,0,0,1,1,2,2,1,1,2,1,0
2,1,1,2,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,3,2,2,3,1,4,4,3,4,2,1,1,0,2,0,1,0,3,2,1,1,1,0,1
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,1,2,3,3,3,1,3,1,0,0,2,0,0,0,0,0,3,3,1,0,1,0,0
